KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.2,7,960,B,14 / 14,3.5 / 3.5,10.8 / 10.8,19 / 19,11.5 / 11.5,7.5 / 7.5,40 / 50,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
170 / 500,2.94118,3200,1061.28,162.184,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1061.51,162.188,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1061.73,162.192,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3200,1061.94,162.195,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1262.14,165.019,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1262.33,165.022,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1262.52,165.024,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1262.71,165.026,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1262.88,165.028,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1263.06,165.03,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1263.22,165.032,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1263.38,165.034,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
170 / 500,2.94118,3600,1263.54,165.036,8.54513,2,实心 / 孔板,34 / 38,42 / 42,42 / 42,177 / 507,80 / 100,133.4 / 463.4,0~0 / 6~11,4.75 / 12.9
